block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
443A,FAJAR RD,443A FAJAR ROAD FAJAR HILLS SINGAPORE 671443,671443,1.38146636369732,103.769766736479,2,8,0,,14128.73298806343
443B,FAJAR RD,443B FAJAR ROAD FAJAR HILLS SINGAPORE 672443,672443,1.38101722786729,103.769595216738,3,8,0,,14102.80649269255
442D,FAJAR RD,442D FAJAR ROAD FAJAR HILLS SINGAPORE 674442,674442,1.38092147169303,103.770840739111,2,8,0,,14005.678044786198
490C,CHOA CHU KANG AVE 5,490C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683490,683490,1.37575014356152,103.741751767068,0,5,0,,15891.093781621412
490A,CHOA CHU KANG AVE 5,490A CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 681490,681490,1.37519738080978,103.741426402066,0,6,0,,15879.601870841538
487A,CHOA CHU KANG AVE 5,487A CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 681487,681487,1.37587750919484,103.739113762764,0,5,0,,16126.199841115387
489B,CHOA CHU KANG AVE 5,489B CHOA CHU KANG AVENUE 5 PCF SPARKLETOTS PRESCHOOL@KEAT HONG 489B (CC) SINGAPORE 682489,682489,1.37573636567496,103.73958458863,0,5,0,,16075.751304784675
376A,HOUGANG ST 32,376A HOUGANG STREET 32 HOUGANG DEWCOURT SINGAPORE 531376,531376,1.36346009799329,103.893576325679,0,7,0,,9987.158181669927
376B,HOUGANG ST 32,376B HOUGANG STREET 32 HOUGANG DEWCOURT SINGAPORE 532376,532376,1.36412337735229,103.894090730991,0,7,0,,10079.125305178506
530C,PASIR RIS DR 1,530C PASIR RIS DRIVE 1 LITTLE PRESCHOOL PTE. LTD SINGAPORE 513530,513530,1.37162618190542,103.950113871559,1,10,0,,14660.982534571804
670A,EDGEFIELD PLAINS,670A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821670,821670,1.40538341177792,103.912960755392,2,9,0,,15117.626803161385
663A,PUNGGOL DR,663A PUNGGOL DRIVE PCF SPARKLETOTS PRESCHOOL @ PUNGGOL NORTH 663A (DS) SINGAPORE 821663,821663,1.40024347553794,103.917080046799,1,9,0,,14829.982077112994
310A,PUNGGOL WALK,310A PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 821310,821310,1.40870088870466,103.901326604714,5,10,0,,14920.264064700603
670C,EDGEFIELD PLAINS,670C EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 823670,823670,1.40534285786675,103.913933278721,1,9,0,,15162.817694615856
665B,PUNGGOL DR,665B PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 822665,822665,1.40204057235273,103.914141095483,2,10,0,,14848.186595043651
91,DAWSON RD,91 DAWSON ROAD SKYTERRACE @ DAWSON SINGAPORE 144091,144091,1.29534041095665,103.812585191493,0,6,0,,4497.610409920371
470A,FERNVALE LINK,470A FERNVALE LINK FERNVALE RIVERGROVE SINGAPORE 791470,791470,1.39647838386976,103.879494944074,3,7,1,Nan Chiau Primary School,12875.983756412865
